keys,en,zh_CN
Improved Magic Attacks,Improved Magic Attacks,魔法强化
+25% Damage (Epic),+25% Damage (Epic),+25%全伤(史诗)
Rapidfire,Rapidfire,速射
Bounty Hunter,Bounty Hunter,赏金猎人
Entangled Gold Mine,Entangled Gold Mine,缠绕金矿
+10% Gold Income,+10% Gold Income,+10%收入
+25% Gold Income,+25% Gold Income,+25%收入
Transmute,Transmute,点金
Imbued Masonry,Imbued Masonry,灵石城墙
+10 Armor,+10 Armor,+10护甲
Moonwell,Moonwell,月之泉
+50 HP Regen,+50 HP Regen,+50生命回复
Evasion,Evasion,闪避
Power Generator,Power Generator,能量炉
Scroll of Chaos,Scroll of Chaos,混沌卷轴
"Compounding Greed (+10 Income, +5/round)","Compounding Greed (+10 Income, +5/round)","复利贪婪(+10收入,+5/轮)"
Blessed Armor,Blessed Armor,祝福护甲
Focusfire,Focusfire,集中火力
+25% Splash Damage,+25% Splash Damage,+25%溅射伤害
+25% Barrage Damage,+25% Barrage Damage,+25%弹幕伤害
+25% Area Damage,+25% Area Damage,+25%范围伤害
Wavefire,Wavefire,波浪炮击
+25% Bounce Damage,+25% Bounce Damage,+25%弹跳伤害
Command Aura,Command Aura,指挥气场
Trueshot Aura,Trueshot Aura,真射气场
Engineering Upgrade,Engineering Upgrade,工程改造
Bash,Bash,猛击
Corrosive Poison,Corrosive Poison,腐蚀毒素
Potent Poison,Potent Poison,剧毒
Dazing Stuns,Dazing Stuns,晕眩延长
Dreadlord Fang,Dreadlord Fang,恐惧魔王之牙
+300 Spikes Damage,+300 Spikes Damage,+300反刺伤害
+50% Spikes Damage,+50% Spikes Damage,+50%反刺伤害
Growing Spikes,Growing Spikes,成长之刺
Vulnerability Totem,Vulnerability Totem,易伤图腾
Mask of Death,Mask of Death,死亡面具
+60 Heal on Kill,+60 Heal on Kill,+60击杀回血
Reanimating Poison,Reanimating Poison,复苏之毒
Multiplication Gems,Multiplication Gems,复制宝石
Duplicator,Duplicator,复制器
Black Market,Black Market,黑市
Magic Treasure,Magic Treasure,魔法财宝
Ankh of Reconstruction,Ankh of Reconstruction,重生安克
Healing Hand,Healing Hand,治愈之手
Living Wood,Living Wood,活木
Enchanted Moon Arrow,Enchanted Moon Arrow,附魔月箭
Refined Explosives,Refined Explosives,精炼炸药
Overclocked Death Engine (+10% Chaos per Death Engine),Overclocked Death Engine (+10% Chaos per Death Engine),超频死亡机器(+10%混沌/台)
Philosopher's Stone,Philosopher's Stone,哲人之石
Cursed Treasure,Cursed Treasure,诅咒财宝
Bloodmoney (+1 Gold per 100 Damage),Bloodmoney (+1 Gold per 100 Damage),血钱(每100伤害+1金)
Bloodmoney II (+1 Gold per 20 Damage),Bloodmoney II (+1 Gold per 20 Damage),血钱II(每20伤害+1金)
Wartithe (25% of Income as Mana Shield),Wartithe (25% of Income as Mana Shield),战争税(25%收入入护盾)
"Aegis Protocol (+2500 Shield, +400/round)","Aegis Protocol (+2500 Shield, +400/round)","神盾协议(+2500护盾,+400/轮)"
Improved Masonry,Improved Masonry,石墙强化
+1000 Max HP,+1000 Max HP,+1000最大生命
+2000 Max HP,+2000 Max HP,+2000最大生命
+50% Kill Bounty,+50% Kill Bounty,+50%击杀赏金
Recharge,Recharge,充能
+20 Gold Income,+20 Gold Income,+20收入
Tower Armor,Tower Armor,塔甲
+10% Attack Speed,+10% Attack Speed,+10%攻速
Renew,Renew,重焕
Repair Crew,Repair Crew,修复班
Magic Coin,Magic Coin,魔法金币
Gold Mine,Gold Mine,金矿
+100% Kill Bounty,+100% Kill Bounty,+100%击杀赏金
+40 HP Regen,+40 HP Regen,+40生命回复
Energy Shield,Energy Shield,能量护盾
"Escalating Plunder (+100% Bounty, +15%/round)","Escalating Plunder (+100% Bounty, +15%/round)","递增掠夺(+100%赏金,+15%/轮)"
"Living Fortress (+2500 Max HP, +500/round)","Living Fortress (+2500 Max HP, +500/round)","活堡垒(+2500生命,+500/轮)"
Mana Shield,Mana Shield,法力护盾
"Mending Engine (+120 Regen, +30/round)","Mending Engine (+120 Regen, +30/round)","治愈炉(+120回复,+30/轮)"
Mastercrafted Masonry,Mastercrafted Masonry,大师石工
Golden Ring,Golden Ring,黄金指环
Arcane Mark,Arcane Mark,奥法印记
Maw of Death,Maw of Death,死亡血盆
Poison Armor,Poison Armor,毒甲
Blight Aura,Blight Aura,枯萎光环
Improved Normal Attacks,Improved Normal Attacks,普攻强化
Improved Chaos Attacks,Improved Chaos Attacks,混沌强化
ROUND %d,ROUND %d,第 %d 轮
BOSS,BOSS,首领
tick %d,tick %d,帧 %d
next in %ds,next in %ds,%d 秒后下一轮
BOSS IN %s,BOSS IN %s,首领来袭 %s
ARSENAL,ARSENAL,武器库
— nothing yet —,— nothing yet —,— 空空如也 —
SHOP,SHOP,商店
click a card or press [1-8] to buy  ·  refreshes every round (30s)  ·  buy as many as you can afford,click a card or press [1-8] to buy  ·  refreshes every round (30s)  ·  buy as many as you can afford,点击卡牌或按 [1-8] 购买  ·  每轮刷新（30秒）·  能买多少买多少
[R] REROLL  free x%d,[R] REROLL  free x%d,[R] 重投  免费 x%d
[R] REROLL  %dg,[R] REROLL  %dg,[R] 重投  %dg
[Space] CLEAR,[Space] CLEAR,[Space] 清场
[N] sound: on,[N] sound: on,[N] 声音：开
[N] sound: off,[N] sound: off,[N] 声音：关
WEAPONS,WEAPONS,武器
WEAPON,WEAPON,武器
ECONOMY,ECONOMY,经济
SPIKE,SPIKE,尖刺
PASSIVE,PASSIVE,被动
TANK DESTROYED,TANK DESTROYED,坦克已摧毁
Run summary,Run summary,本局统计
Round reached,Round reached,存活轮次
Damage dealt,Damage dealt,造成伤害
Gold earned,Gold earned,获得金币
Weapons bought,Weapons bought,购买武器
— nothing acquired —,— nothing acquired —,— 两手空空 —
ACHIEVEMENTS UNLOCKED,ACHIEVEMENTS UNLOCKED,本局解锁成就
— none this run —,— none this run —,— 本局无 —
REDEPLOY,REDEPLOY,再次出战
[Enter] Redeploy   ·   [Esc] Menu,[Enter] Redeploy   ·   [Esc] Menu,[Enter] 再次出战   ·   [Esc] 主菜单
MULTI-ARENA NET VIEW  —  %d sharded sims · 1 authoritative director · server tick %d · alive %d/%d  [%s],MULTI-ARENA NET VIEW  —  %d sharded sims · 1 authoritative director · server tick %d · alive %d/%d  [%s],多竞技场网络视图  —  %d 分片模拟 · 1 权威裁定器 · 服务器帧 %d · 存活 %d/%d  [%s]
YOU: %s  ·  [S] skins,YOU: %s  ·  [S] skins,你：%s  ·  [S] 换皮肤
CHALLENGE: %s  ·  %s,CHALLENGE: %s  ·  %s,挑战：%s  ·  %s
ACHIEVEMENT UNLOCKED:  %s,ACHIEVEMENT UNLOCKED:  %s,成就解锁：%s
MATCH OVER,MATCH OVER,对局结束
LIVE,LIVE,进行中
GRIMDARK,GRIMDARK,黑暗风
GASLAMP,GASLAMP,蒸汽灯
OUT,OUT,淘汰
SCORE %d,SCORE %d,得分 %d
★ YOU,★ YOU,★ 你
MULTIPLAYER LOBBY,MULTIPLAYER LOBBY,多人大厅
host peer %d  ·  %d / %d seated  ·  %d / %d ready  ·  phase %s,host peer %d  ·  %d / %d seated  ·  %d / %d ready  ·  phase %s,主机 %d  ·  %d / %d 在座  ·  %d / %d 准备就绪  ·  阶段 %s
FILLING,FILLING,等待加入
READY,READY,准备就绪
STARTED,STARTED,已开始
HOST,HOST,主机
✓ READY,✓ READY,✓ 准备就绪
✗ not ready,✗ not ready,✗ 未准备
▶ START MATCH  [Enter],▶ START MATCH  [Enter],▶ 开始对局  [Enter]
START  (all must ready),START  (all must ready),开始（所有人须准备就绪）
YOU: ✓ ready,YOU: ✓ ready,你：✓ 准备就绪
YOU: ✗ not ready,YOU: ✗ not ready,你：✗ 未准备
[Space] toggle,[Space] toggle,[Space] 切换
Lobby unavailable (StLobby not loaded).,Lobby unavailable (StLobby not loaded).,大厅不可用（StLobby 未加载）
Need at least 1 other player to start.,Need at least 1 other player to start.,至少需要 1 名其他玩家才能开始。
Not everyone is ready yet. [R] readies all.,Not everyone is ready yet. [R] readies all.,还有人未准备好。[R] 一键全部准备。
Start rejected: not all players ready.,Start rejected: not all players ready.,开始失败：并非所有玩家已准备就绪。
Start rejected: not enough players.,Start rejected: not enough players.,开始失败：玩家人数不足。
Start rejected: match already started.,Start rejected: match already started.,开始失败：对局已经开始。
Start rejected (code %d).,Start rejected (code %d).,开始失败（错误码 %d）。
[Space] your ready   [A] add player   [X] remove player   [R] ready all   [Enter] start   [T] theme   [Esc] back,[Space] your ready   [A] add player   [X] remove player   [R] ready all   [Enter] start   [T] theme   [Esc] back,[Space] 切换准备   [A] 添加玩家   [X] 移除玩家   [R] 全部准备   [Enter] 开始   [T] 主题   [Esc] 返回
CHOOSE A CHALLENGE,CHOOSE A CHALLENGE,选择挑战
Your tank's bot will honor the rule — clear it to unlock the reward skin.   [↑/↓] move   [Enter] deploy   [C/Esc] back,Your tank's bot will honor the rule — clear it to unlock the reward skin.   [↑/↓] move   [Enter] deploy   [C/Esc] back,机器人将遵守规则出战——完成挑战即可解锁奖励皮肤。   [↑/↓] 移动   [Enter] 出战   [C/Esc] 返回
Free Play,Free Play,自由对战
No rule — just deploy with your selected skin.,No rule — just deploy with your selected skin.,无规则限制——直接以当前皮肤出战。
Unlocks: %s,Unlocks: %s,解锁：%s
✓ EARNED,✓ EARNED,✓ 已获得
locked,locked,未解锁
SELECT YOUR TANK,SELECT YOUR TANK,选择你的坦克
%d / %d unlocked,%d / %d unlocked,%d / %d 已解锁
"Unlock skins via achievements — purist runs (one weapon type), no-economy, and more.   [arrows] move   [Enter] play   [C] challenges   [L] lobby   [M] net demo   [T] theme   [U] dev-unlock","Unlock skins via achievements — purist runs (one weapon type), no-economy, and more.   [arrows] move   [Enter] play   [C] challenges   [L] lobby   [M] net demo   [T] theme   [U] dev-unlock",通过成就解锁皮肤——纯粹流（单一武器类型）、无经济流等。   [方向键] 移动   [Enter] 出战   [C] 挑战   [L] 大厅   [M] 网络演示   [T] 主题   [U] 开发解锁
✓ EQUIPPED,✓ EQUIPPED,✓ 已装备
LOCKED: %s,LOCKED: %s,已锁定：%s
[ DEPLOY: %s ],[ DEPLOY: %s ],[ 出战：%s ]
[ LOCKED: %s — %s ],[ LOCKED: %s — %s ],[ 已锁定：%s — %s ]
Hermit-Crab Fortress,Hermit-Crab Fortress,蟹堡要塞
The default defender: a dug-in crab-keep (war-tortoise alt skin).,The default defender: a dug-in crab-keep (war-tortoise alt skin).,默认防守者：一座壕沟蟹堡（战龟别皮）。
Deadeye Dan,Deadeye Dan,独眼神射
One-eyed single-shot sniper.,One-eyed single-shot sniper.,独眼狙击手，一击毙命。
Spicy Meatball,Spicy Meatball,麻辣肉丸
Splash-only. BELCHES fire.,Splash-only. BELCHES fire.,纯溅射流。狂喷火焰！
Octo-Blaster,Octo-Blaster,八爪炮台
Eight arms eight barrages.,Eight arms eight barrages.,八臂齐发，乱弹如雨。
Disco Doom,Disco Doom,迪斯科末日
Pulsing aura of pure groove.,Pulsing aura of pure groove.,纯律动气场，脉冲致死。
Tidal Terry,Tidal Terry,海浪大叔
A sweeping wave. Gnarly.,A sweeping wave. Gnarly.,如浪横扫，狂野无比。
Bouncy Boi,Bouncy Boi,弹弹小子
Boing. Boing. Ricochet.,Boing. Boing. Ricochet.,嘭。嘭。乱弹乱撞。
Stone Broke,Stone Broke,穷光蛋
No income. All vibes.,No income. All vibes.,不赚金币，纯靠感觉。
Franken-Tank,Franken-Tank,弗兰肯坦克
A bit of every weapon type.,A bit of every weapon type.,什么武器都买一点。
Gore Hound,Gore Hound,嗜血猎犬
It has tasted 1000000 HP.,It has tasted 1000000 HP.,已品尝过一百万滴血。
Chilly Willy,Chilly Willy,雪人威利
Snowman. Carrot goes BOOM.,Snowman. Carrot goes BOOM.,雪人出击，胡萝卜爆炸！
Sir Toots-a-Lot,Sir Toots-a-Lot,放屁爵士
A brass steam-teapot of war.,A brass steam-teapot of war.,黄铜蒸汽茶壶上战场。
Lord Spookington,Lord Spookington,幽灵爵爷
A floaty eldritch eyeball. Hi.,A floaty eldritch eyeball. Hi.,漂浮邪眼，你好啊。
One-Trick Sniper,One-Trick Sniper,专一狙击手
Buy only Single-Target weapons (3+).,Buy only Single-Target weapons (3+).,只购买单体武器（3件以上）。
Boom Enthusiast,Boom Enthusiast,爆炸爱好者
Buy only Splash weapons (3+).,Buy only Splash weapons (3+).,只购买溅射武器（3件以上）。
Spray 'n' Pray,Spray 'n' Pray,横扫听天命
Buy only Barrage weapons (3+).,Buy only Barrage weapons (3+).,只购买连射武器（3件以上）。
Aura Farmer,Aura Farmer,气场收割者
Buy only Area weapons (3+).,Buy only Area weapons (3+).,只购买范围武器（3件以上）。
Wavy Gravy,Wavy Gravy,浪里个浪
Buy only Wave weapons (3+).,Buy only Wave weapons (3+).,只购买波浪武器（3件以上）。
Ricochet Rascal,Ricochet Rascal,反弹小鬼
Buy only Bounce weapons (3+).,Buy only Bounce weapons (3+).,只购买弹射武器（3件以上）。
Buy 6 weapons with zero income purchases.,Buy 6 weapons with zero income purchases.,在零收入购买的情况下购买 6 件武器。
Jack of All Trades,Jack of All Trades,百搭全才
Buy a weapon of every attack type.,Buy a weapon of every attack type.,每种攻击类型各买一件武器。
Bloodletter,Bloodletter,放血大师
Deal 1000000 damage in a match.,Deal 1000000 damage in a match.,在一局中造成 1000000 点伤害。
Long Watch,Long Watch,熬夜守卫
Survive to round 20.,Survive to round 20.,坚持到第 20 轮。
War Profiteer,War Profiteer,战争奸商
Earn 500000 gold in a match.,Earn 500000 gold in a match.,在一局中赚取 500000 金币。
Sole Survivor,Sole Survivor,最后的幸存者
Win a match (last tank standing).,Win a match (last tank standing).,赢得对局（最后一辆坦克存活）。
Purist: Single-Target,Purist: Single-Target,纯粹流：单体
Bot buys ONLY Single-Target weapons.,Bot buys ONLY Single-Target weapons.,机器人只购买单体武器。
Purist: Splash,Purist: Splash,纯粹流：溅射
Bot buys ONLY Splash weapons.,Bot buys ONLY Splash weapons.,机器人只购买溅射武器。
Purist: Barrage,Purist: Barrage,纯粹流：连射
Bot buys ONLY Barrage weapons.,Bot buys ONLY Barrage weapons.,机器人只购买连射武器。
Purist: Area,Purist: Area,纯粹流：范围
Bot buys ONLY Area weapons.,Bot buys ONLY Area weapons.,机器人只购买范围武器。
Purist: Wave,Purist: Wave,纯粹流：波浪
Bot buys ONLY Wave weapons.,Bot buys ONLY Wave weapons.,机器人只购买波浪武器。
Purist: Bounce,Purist: Bounce,纯粹流：弹射
Bot buys ONLY Bounce weapons.,Bot buys ONLY Bounce weapons.,机器人只购买弹射武器。
No Economy,No Economy,无经济流
Bot never buys income only weapons.,Bot never buys income only weapons.,机器人从不购买收入，只购买武器。
Bot collects a weapon of every type.,Bot collects a weapon of every type.,机器人收集每种类型的武器。
YOU,YOU,你
+%d/t,+%d/t,+%d/t
"Warden issue, third pattern; the stock is notched once for every gunner the Pale Wardens lost holding this same dirt.","Warden issue, third pattern; the stock is notched once for every gunner the Pale Wardens lost holding this same dirt.",卫士制式，第三型号；枪托上每刻一道，就是苍白卫士为守住这片烂泥而倒下的一名射手。
"Single-target piercing. The first thing they hand you, and often the last.","Single-target piercing. The first thing they hand you, and often the last.",单体穿刺。他们最先塞给你的家伙，往往也是你最后摸到的。
"Ninth Foundry overrun, its sights still ground for a wall that no longer stands at Ashmark.","Ninth Foundry overrun, its sights still ground for a wall that no longer stands at Ashmark.",第九铸造厂的过剩品，瞄具至今仍校准着艾什马克一堵早已不复存在的城墙。
"Lobbed siege splash. Wide blast, slow to reseat.","Lobbed siege splash. Wide blast, slow to reseat.",抛射攻城溅射。爆炸范围大，再装填缓慢。
The cold it throws is the same cold that took Ashmark in one night; the Hexwrights only learned to aim it afterward.,The cold it throws is the same cold that took Ashmark in one night; the Hexwrights only learned to aim it afterward.,它喷出的寒意，正是一夜吞没艾什马克的那股寒意；符文匠不过是事后才学会瞄准它。
Fast single-target magic. Stacks frost toward the freeze.,Fast single-target magic. Stacks frost toward the freeze.,快速单体魔法。叠加冰霜直至冻结。
"Greycoat field-rations went bad in the same crates that carried these tips, and the quartermaster shipped both anyway.","Greycoat field-rations went bad in the same crates that carried these tips, and the quartermaster shipped both anyway.",灰袍兵的野战口粮和这些箭头装在同一批箱子里一起变了质，军需官照样把两样都发了下去。
"Single-target piercing. Light hit, heavy poison rot.","Single-target piercing. Light hit, heavy poison rot.",单体穿刺。伤害轻，中毒腐蚀重。
Foundry-work turned outward; the men who pour the cannon learned long ago that fire spreads down a packed column.,Foundry-work turned outward; the men who pour the cannon learned long ago that fire spreads down a packed column.,铸造厂的手艺反向施为；浇铸火炮的人早就懂得，火焰会顺着密集的纵队一路蔓延。
"Short-range chaos splash. Stacks fire that cooks, then bursts on death.","Short-range chaos splash. Stacks fire that cooks, then bursts on death.",近程混沌溅射。叠加灼烧火焰，目标死亡时引爆。
The Hexwrights bound a storm into the head and never told the Wardens how to put it down.,The Hexwrights bound a storm into the head and never told the Wardens how to put it down.,符文匠把一场风暴封进了弹头，却从没告诉卫士该怎么把它按下去。
Heavy single-target magic. Long stun on the target.,Heavy single-target magic. Long stun on the target.,重型单体魔法。对目标造成长时间眩晕。
"Stamped at the Ninth Foundry, four-bolt pattern, built for a frontier that needed walls cleared faster than it had men.","Stamped at the Ninth Foundry, four-bolt pattern, built for a frontier that needed walls cleared faster than it had men.",第九铸造厂出品，四发型号，为一条城墙清得比补兵还快的边境线而造。
Long-range siege barrage. Four bolts to four targets.,Long-range siege barrage. Four bolts to four targets.,远程攻城齐射。四发弹射向四个目标。
Wardens who stood too long beside a failing reactor learned to wear the burn; this makes a weapon of it.,Wardens who stood too long beside a failing reactor learned to wear the burn; this makes a weapon of it.,在故障反应堆旁站得太久的卫士学会了把灼伤穿在身上；而这件东西把灼伤变成了武器。
Chaos area pulse around the tank. Stacks fire on everything near.,Chaos area pulse around the tank. Stacks fire on everything near.,坦克周身的混沌范围脉冲。对附近一切叠加火焰。
"Salvaged off the Ashmark sappers, who swung once and let the ground carry the rest of the argument.","Salvaged off the Ashmark sappers, who swung once and let the ground carry the rest of the argument.",从艾什马克的工兵身上扒来的——他们只挥一下，剩下的道理交给大地去讲。
"Point-blank normal wave. Big sweeping hit, nothing applied.","Point-blank normal wave. Big sweeping hit, nothing applied.",贴脸普通波。大范围横扫，无附加效果。
A Hexwright trinket that does its own targeting; the Conclave swears it was never meant to leave the vault.,A Hexwright trinket that does its own targeting; the Conclave swears it was never meant to leave the vault.,一件会自己锁定目标的符文匠小玩意；议政会发誓它本不该流出地库。
Single-target piercing chain. Bounces to four enemies.,Single-target piercing chain. Bounces to four enemies.,单体穿刺连锁。弹射至四名敌人。
The Foundry built one and then could not stop building it; each copy makes the next cheaper to feed.,The Foundry built one and then could not stop building it; each copy makes the next cheaper to feed.,铸造厂造出一台后便停不下来；每多一台，下一台的供养就更便宜。
Single-target chaos. Damage compounds per Death Engine owned.,Single-target chaos. Damage compounds per Death Engine owned.,单体混沌。每拥有一台死亡引擎，伤害叠乘增长。
"First rite the Conclave teaches its apprentices, and the last thing a great many things ever saw.","First rite the Conclave teaches its apprentices, and the last thing a great many things ever saw.",议政会教给学徒的第一道仪式，也是许许多多东西见到的最后一幕。
"Single-target magic. Plain bolt, no status.","Single-target magic. Plain bolt, no status.",单体魔法。普通弹，无状态。
"A rock the Greycoats no longer had to carry, thrown at a problem they no longer had to name.","A rock the Greycoats no longer had to carry, thrown at a problem they no longer had to name.",一块灰袍兵再不必背着的石头，砸向一个他们再不必叫出名字的麻烦。
"Single-target siege. Heavy stone, no status.","Single-target siege. Heavy stone, no status.",单体攻城。重石，无状态。
"Conclave-cut and clean, with none of the frost or fire the Hexwrights add when they want to be remembered.","Conclave-cut and clean, with none of the frost or fire the Hexwrights add when they want to be remembered.",议政会切削得干净利落，没有符文匠想被记住时添上的那些冰霜与火焰。
"Single-target magic. Quick, plain hit.","Single-target magic. Quick, plain hit.",单体魔法。快速、朴素的一击。
"Whatever the Conclave sealed in here predates the war, and it leaves armor unconvinced.","Whatever the Conclave sealed in here predates the war, and it leaves armor unconvinced.",议政会封在里头的东西，比这场战争还古老，护甲对它毫无说服力。
Single-target chaos. Ignores armor type.,Single-target chaos. Ignores armor type.,单体混沌。无视护甲类型。
"Greycoat sidearms, three to a belt, meant for the work that happens after the line already broke.","Greycoat sidearms, three to a belt, meant for the work that happens after the line already broke.",灰袍兵的副武器，一条腰带挂三把，专为防线已破之后的活计而备。
"Short-range piercing chain. Fast, bounces to three.","Short-range piercing chain. Fast, bounces to three.",近程穿刺连锁。快速，弹射至三人。
The Conclave renders down the heads of its own dead and stuffs them with worse; they remember whose they were.,The Conclave renders down the heads of its own dead and stuffs them with worse; they remember whose they were.,议政会熔炼自家死者的头颅，塞进更糟的东西；它们还记得自己曾属于谁。
Chaos chain. Bounces between three bodies.,Chaos chain. Bounces between three bodies.,混沌连锁。在三具躯体间弹射。
Suckula sleeps all day and feasts all night; every bite it lands comes straight back to you as a little more life.,Suckula sleeps all day and feasts all night; every bite it lands comes straight back to you as a little more life.,吸血鬼整日酣睡、彻夜饕餮；它每咬中一口，都化作一点生命径直回流到你身上。
"Heavy point-blank chaos wave. Slow, vampiric on the base item.","Heavy point-blank chaos wave. Slow, vampiric on the base item.",重型贴脸混沌波。缓慢，基础物品自带吸血。
"Eight tubes off the Ashmark batteries, recovered from a position that fired this volley once and was overrun anyway.","Eight tubes off the Ashmark batteries, recovered from a position that fired this volley once and was overrun anyway.",从艾什马克炮组上拆下的八管发射器，回收自一处放完这一轮齐射、终究还是被攻破的阵地。
"Epic long-range piercing barrage. Eight bolts, each stuns.","Epic long-range piercing barrage. Eight bolts, each stuns.",史诗级远程穿刺齐射。八发弹，每发眩晕。
A Warden glaive cut to find its mark across the open ground command never reinforced.,A Warden glaive cut to find its mark across the open ground command never reinforced.,一柄卫士长刃，磨利了只为越过指挥部从不增援的开阔地，找到它的目标。
Long-range piercing chain. Bounces to three.,Long-range piercing chain. Bounces to three.,远程穿刺连锁。弹射至三人。
"Ninth Foundry pressure-rig, the kind that scalds the loader as readily as the target.","Ninth Foundry pressure-rig, the kind that scalds the loader as readily as the target.",第九铸造厂的高压装置，烫起装填手来和烫目标一样利落。
Short-range siege splash. Brief stun on hit.,Short-range siege splash. Brief stun on hit.,近程攻城溅射。命中造成短暂眩晕。
"The Conclave does not say where this eye came from, only that it chooses, and the choosing is final.","The Conclave does not say where this eye came from, only that it chooses, and the choosing is final.",议政会不说这只眼睛从何而来，只说它会挑选，而挑选无可更改。
"Heavy single-target chaos. Pure punch, no status.","Heavy single-target chaos. Pure punch, no status.",重型单体混沌。纯粹打击，无状态。
"Warden spearwork, made for the press at the wire where there is no room to miss.","Warden spearwork, made for the press at the wire where there is no room to miss.",卫士的长矛技艺，为铁丝网前那拥挤得容不下半点失手的近战而生。
Fast single-target piercing. Short stun.,Fast single-target piercing. Short stun.,快速单体穿刺。短暂眩晕。
"A Hexwright cloud of small wrong things, loosed long over the Ashmark dead and quiet after.","A Hexwright cloud of small wrong things, loosed long over the Ashmark dead and quiet after.",符文匠放出的一团细小的歪斜之物，远远撒过艾什马克的死者，过后便归于沉寂。
Long-range chaos splash. Spreads on impact.,Long-range chaos splash. Spreads on impact.,远程混沌溅射。命中时扩散。
"Foundry stonework, short-ranged and unsubtle, built for a line that had run out of subtler answers.","Foundry stonework, short-ranged and unsubtle, built for a line that had run out of subtler answers.",铸造厂的投石器，射程短而粗暴，为一条再无精巧之法的防线而造。
